Rodada,ID,Nome,Clube,Posição,Mandante_Visitante,Pontuação,FD,FS,CA,FC,DS,FF,SG,A,G,I,DE,GS,V,PC,DP,CV,FT,PP,PS,GC
24,95556,Raniele,COR,Meia,visitante,1.3,,1.0,,,,1.0,,,,,,,,,,,,,,
24,95662,Lucas Kal,SPT,Meia,mandante,0.0,,,,,,,,,,,,,,,,,,,,
24,96340,Lima,FLU,Meia,visitante,0.5,,1.0,,,,,,,,,,,,,,,,,,
24,96353,Joaquín Correa,BOT,Atacante,mandante,1.0,,2.0,,,,,,,,,,,,,,,,,,
24,96610,Matheus Pereira,CRU,Meia,mandante,1.2,,2.0,,2.0,,1.0,,,,,,,,,,,,,,
24,96652,Allan,FLA,Meia,mandante,3.0,,,,,2.0,,,,,,,,,,,,,,,
24,96684,Rigoni,SAO,Atacante,visitante,0.0,1.0,,1.0,3.0,,1.0,,,,1.0,,,,,,,,,,
24,96793,Camutanga,VIT,Zagueiro,mandante,5.0,,,,1.0,3.0,1.0,,,,,,,,,,,,,,
24,96870,Emerson Royal,FLA,Lateral,mandante,5.5,,2.0,,,3.0,,,,,,,,,,,,,,,
24,97095,Carlos Cuesta,VAS,Zagueiro,visitante,2.6,,1.0,,3.0,2.0,,,,,,,,,,,,,,,
24,97321,Alesson,MIR,Atacante,mandante,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,
24,97341,Rogério Ceni,BAH,Técnico,visitante,4.07,,,,,,,,,,,,,,,,,,,,
24,97468,Marçal,BOT,Lateral,mandante,7.2,,1.0,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,
24,97520,Shaylon,MIR,Meia,mandante,1.2,,,,1.0,1.0,,,,,,,,,,,,,,,
24,97810,Erick,VIT,Atacante,mandante,4.7,,3.0,,2.0,,1.0,,,,,,,,,,,1.0,,,
24,97867,Léo Ortiz,FLA,Zagueiro,mandante,1.5,,,,,1.0,,,,,,,,,,,,,,,
24,97868,Iago,BAH,Lateral,visitante,0.0,,,,,,,,,,,,,,,,,,,,
24,97898,Maílton,SAO,Lateral,visitante,0.9,,3.0,,2.0,,,,,,,,,,,,,,,,
24,97900,Vitão,INT,Zagueiro,mandante,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,
24,98384,Negueba,MIR,Atacante,mandante,6.3,,1.0,,,,1.0,,1.0,,,,,,,,,,,,
24,98517,Jean Lucas,BAH,Meia,visitante,3.3,2.0,,,2.0,1.0,,,,,,,,,,,,,,,
24,98672,Savarino,BOT,Meia,mandante,0.0,,,,,,,,,,,,,,,,,,,,
24,98720,Angileri,COR,Lateral,visitante,1.2,,,,1.0,1.0,,,,,,,,,,,,,,,
24,98873,Samuel Lino,FLA,Atacante,mandante,1.7,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
24,98974,Viña,FLA,Lateral,mandante,0.0,,,,,,,,,,,,,,,,,,,,
24,99032,Lourenço,CEA,Meia,mandante,8.5,1.0,1.0,,1.0,1.0,2.0,,,1.0,,,,,,,,,1.0,,
24,99198,Vegetti,VAS,Atacante,visitante,1.7,1.0,1.0,,,,,,,,,,,,,,,,,,
24,99213,Puma Rodríguez,VAS,Lateral,visitante,7.0,,1.0,,1.0,2.0,1.0,,,,,,,,,,,1.0,,,
24,99248,Bareiro,FOR,Atacante,visitante,-0.3,,,,1.0,,,,,,,,,,,,,,,,
24,99267,Pochettino,FOR,Meia,visitante,0.0,,,,,,,,,,,,,,,,,,,,
24,99274,Alexander Barboza,BOT,Zagueiro,mandante,5.5,,,,3.0,1.0,,1.0,,,1.0,,,,,,,,,,
24,99316,Dinenno,SAO,Atacante,visitante,-0.6,,,,2.0,,,,,,,,,,,,,,,,
24,99552,Rossi,FLA,Goleiro,mandante,2.9,,,,,,,,,,,3.0,1.0,,,,,,,,
25,100084,Igor Gomes,CAM,Meia,mandante,-0.3,,2.0,1.0,1.0,,,,,,,,,,,,,,,,
25,100652,Yuri Alberto,COR,Atacante,mandante,11.2,2.0,3.0,1.0,1.0,,2.0,,,1.0,,,,,,,,1.0,1.0,,
25,100695,Fernando,RBB,Atacante,mandante,0.0,,,,,,,,,,,,,,,,,,,,
