Rodada,Confronto,Time A,Time B,ID A,ID B
16,5,lsauer fc,mercearia Estrela,44810918,25401606
16,6,Gremiomaniasm,Texas Club 2026,528730,1273719
16,7,A Lenda Super Vasco F.c,Dom Camillo68,117598,20696550
16,8,seralex,TEAM LOPES 99,29228373,479510
16,9,Fedato Futebol Clube,pra sempre imortal fc,18642587,25313333
16,10,Paulo Virgili FC,CAFÉ AMARGO PRO26.2,14124559,47547651
17,1,seralex,FBC Colorado,29228373,186283
17,2,Tatols Beants F.C,TIGRE LEON,212042,3424598
17,3,pura bucha/internacional,Mau Humor F.C.,18661583,19033717
17,4,Rolo Compressor  ZN,mercearia Estrela,18223508,25401606
17,5,TATITTA FC,Texas Club 2026,49180400,1273719
17,6,Dom Camillo68,lsauer fc,20696550,44810918
17,7,Gremiomaniasm,TEAM LOPES 99,528730,479510
17,8,Fedato Futebol Clube,A Lenda Super Vasco F.c,18642587,117598
17,9,Paulo Virgili FC,pra sempre imortal fc,14124559,25313333
17,10,CAFÉ AMARGO PRO26.2,cartola scheuer17,47547651,3851966
18,1,Gremiomaniasm,FBC Colorado,528730,186283
18,2,TIGRE LEON,Mau Humor F.C.,3424598,19033717
18,3,mercearia Estrela,Tatols Beants F.C,25401606,212042
18,4,pura bucha/internacional,Texas Club 2026,18661583,1273719
18,5,Dom Camillo68,Rolo Compressor  ZN,20696550,18223508
18,6,TATITTA FC,TEAM LOPES 99,49180400,479510
18,7,lsauer fc,Fedato Futebol Clube,44810918,18642587
18,8,Paulo Virgili FC,A Lenda Super Vasco F.c,14124559,117598
18,9,CAFÉ AMARGO PRO26.2,seralex,47547651,29228373
18,10,pra sempre imortal fc,cartola scheuer17,25313333,3851966
19,1,TATITTA FC,FBC Colorado,49180400,186283
19,2,TIGRE LEON,mercearia Estrela,3424598,25401606
19,3,Mau Humor F.C.,Texas Club 2026,19033717,1273719
19,4,Tatols Beants F.C,Dom Camillo68,212042,20696550
19,5,TEAM LOPES 99,pura bucha/internacional,479510,18661583
19,6,Fedato Futebol Clube,Rolo Compressor  ZN,18642587,18223508
19,7,lsauer fc,Paulo Virgili FC,44810918,14124559
19,8,Gremiomaniasm,CAFÉ AMARGO PRO26.2,528730,47547651
19,9,cartola scheuer17,A Lenda Super Vasco F.c,3851966,117598
19,10,pra sempre imortal fc,seralex,25313333,29228373
