Rodada,Confronto,Time A,Time B,ID A,ID B
14,10,TIGRE LEON,Tatols Beants F.C,3424598,212042
15,1,Rolo Compressor  ZN,FBC Colorado,18223508,186283
15,2,PUXE FC,pura bucha/internacional,3447341,18661583
15,3,Paulo Virgili FC,cartola scheuer17,14124559,3851966
15,4,Pity10,Dom Camillo68,48498051,20696550
15,5,Sport Clube PAIM,Gremiomaniasm,1148959,528730
15,6,JV5 Tricolor Gaúcho,seralex,1747619,29228373
15,7,CAFÉ AMARGO PRO26.2,Mau Humor F.C.,47547651,19033717
15,8,Fedato Futebol Clube,TEAM LOPES 99,18642587,479510
15,9,Texas Club 2026,TIGRE LEON,1273719,3424598
15,10,Tatols Beants F.C,lsauer fc,212042,44810918
16,1,FBC Colorado,Dom Camillo68,186283,20696550
16,2,cartola scheuer17,PUXE FC,3851966,3447341
16,3,pura bucha/internacional,Pity10,18661583,48498051
16,4,Sport Clube PAIM,Paulo Virgili FC,1148959,14124559
16,5,Gremiomaniasm,JV5 Tricolor Gaúcho,528730,1747619
16,6,Rolo Compressor  ZN,CAFÉ AMARGO PRO26.2,18223508,47547651
16,7,seralex,TEAM LOPES 99,29228373,479510
16,8,Mau Humor F.C.,TIGRE LEON,19033717,3424598
16,9,Tatols Beants F.C,Fedato Futebol Clube,212042,18642587
16,10,Texas Club 2026,lsauer fc,1273719,44810918
17,1,pura bucha/internacional,FBC Colorado,18661583,186283
17,2,PUXE FC,Pity10,3447341,48498051
17,3,Sport Clube PAIM,cartola scheuer17,1148959,3851966
17,4,Paulo Virgili FC,JV5 Tricolor Gaúcho,14124559,1747619
17,5,Dom Camillo68,CAFÉ AMARGO PRO26.2,20696550,47547651
17,6,TEAM LOPES 99,Gremiomaniasm,479510,528730
17,7,TIGRE LEON,Rolo Compressor  ZN,3424598,18223508
17,8,Tatols Beants F.C,seralex,212042,29228373
17,9,lsauer fc,Mau Humor F.C.,44810918,19033717
17,10,Texas Club 2026,Fedato Futebol Clube,1273719,18642587
18,1,Pity10,FBC Colorado,48498051,186283
18,2,Sport Clube PAIM,PUXE FC,1148959,3447341
18,3,cartola scheuer17,JV5 Tricolor Gaúcho,3851966,1747619
18,4,CAFÉ AMARGO PRO26.2,pura bucha/internacional,47547651,18661583
18,5,Paulo Virgili FC,TEAM LOPES 99,14124559,479510
18,6,TIGRE LEON,Dom Camillo68,3424598,20696550
18,7,Gremiomaniasm,Tatols Beants F.C,528730,212042
18,8,Rolo Compressor  ZN,lsauer fc,18223508,44810918
18,9,Texas Club 2026,seralex,1273719,29228373
18,10,Mau Humor F.C.,Fedato Futebol Clube,19033717,18642587
19,1,PUXE FC,FBC Colorado,3447341,186283
19,2,JV5 Tricolor Gaúcho,Sport Clube PAIM,1747619,1148959
19,3,Pity10,CAFÉ AMARGO PRO26.2,48498051,47547651
19,4,TEAM LOPES 99,cartola scheuer17,479510,3851966
19,5,pura bucha/internacional,TIGRE LEON,18661583,3424598
19,6,Paulo Virgili FC,Tatols Beants F.C,14124559,212042
19,7,lsauer fc,Dom Camillo68,44810918,20696550
19,8,Texas Club 2026,Gremiomaniasm,1273719,528730
19,9,Rolo Compressor  ZN,Fedato Futebol Clube,18223508,18642587
19,10,seralex,Mau Humor F.C.,29228373,19033717
